year;niveau;deleg;codedel;nbetabli;1ann;2ann;3ann;4ann;5ann;6ann;student;class;prep;densite;enf;groupe;enseignant;ref_tn_cod;lat;lon;nom;per nouv 1 ayant ben AP;;per section lettre;per section math;per section science;per section tech;per section info;per section eco;per section sport
2021/2022;Cycle Primaire;Haffouz;8136;25;965;960;964;918;840;756;5403;243;19;22,23;517;26;356;TN416;;;;82,4;;;;;;;;
2021/2022;Cycle Primaire;Hajeb El Ayoun;8141;22;961;946;938;839;869;689;5242;226;17;23,19;474;23;299;TN418;;;;77,3;;;;;;;;
2021/2022;Cycle Primaire;Nasrallah;8146;20;451;447;446;427;355;378;2504;139;11;18,01;299;13;200;TN419;;;;61,8;;;;;;;;
2021/2022;Cycle Primaire;Manzel mhiri;8147;11;338;312;323;268;260;247;1748;92;8;19;197;10;134;TN421;;;;79;;;;;;;;
2021/2022;Cycle Primaire;Bouhajla;8151;42;1708;1767;1924;1642;1563;1362;9966;420;22;23,73;658;30;550;TN41B;;;;50,3;;;;;;;;
2021/2022;Cycle Primaire;Echrarda;8156;25;775;764;772;680;590;568;4149;201;5;20,64;125;6;262;TN41A;;;;39,9;;;;;;;;
2024/2025;Cycle Preparatoire(G)& Enseignement Secondaire;Kairaouan Nord;8121;11;;;;;;;6717;229;;29,33;;;1056;TN411;;;;;;77;113;211;125;26;194;73
2024/2025;Cycle Preparatoire(G)& Enseignement Secondaire;Kairouan Sud;8122;14;;;;;;;9640;367;;26,27;;;282;TN412;;;;;;222;29;335;226;144;467;0
2024/2025;Cycle Preparatoire(G)& Enseignement Secondaire;Echbika;8123;3;;;;;;;2407;81;;29,72;;;151;TN413;;;;;;39;0;89;0;0;112;0
2024/2025;Cycle Preparatoire(G)& Enseignement Secondaire;Sebikha;8126;6;;;;;;;5311;182;;29,18;;;286;TN414;;;;;;186;24;61;102;29;146;0
2024/2025;Cycle Preparatoire(G)& Enseignement Secondaire;El  Oueslatia;8131;5;;;;;;;2670;80;;33,38;;;152;TN415;;;;;;126;11;39;66;0;138;0
2024/2025;Cycle Preparatoire(G)& Enseignement Secondaire;Ain jloula;8132;2;;;;;;;644;27;;23,85;;;36;TN420;;;;;;10;0;29;0;0;34;0
2024/2025;Cycle Preparatoire(G)& Enseignement Secondaire;El Ala;8134;6;;;;;;;2458;90;;27,31;;;121;TN417;;;;;;63;11;25;18;0;83;0
2024/2025;Cycle Preparatoire(G)& Enseignement Secondaire;Haffouz;8136;5;;;;;;;3959;139;;28,48;;;243;TN416;;;;;;93;24;50;81;15;152;0
2024/2025;Cycle Preparatoire(G)& Enseignement Secondaire;Hajeb El Ayoun;8141;5;;;;;;;3639;125;;29,11;;;202;TN418;;;;;;166;13;63;97;19;115;0
2024/2025;Cycle Preparatoire(G)& Enseignement Secondaire;Nasrallah;8146;6;;;;;;;2257;84;;26,87;;;157;TN419;;;;;;39;0;55;47;0;116;0
2024/2025;Cycle Preparatoire(G)& Enseignement Secondaire;Manzel mhiri;8147;2;;;;;;;1220;43;;28,37;;;78;TN421;;;;;;14;0;36;0;0;48;0
2024/2025;Cycle Preparatoire(G)& Enseignement Secondaire;Bouhajla;8151;6;;;;;;;5521;188;;29,37;;;301;TN41B;;;;;;91;15;110;130;22;270;0
2024/2025;Cycle Preparatoire(G)& Enseignement Secondaire;Echrarda;8156;4;;;;;;;2522;89;;28,34;;;139;TN41A;;;;;;55;0;34;0;50;44;0
2023/2024;Cycle Preparatoire(G)& Enseignement Secondaire;Kairaouan Nord;8121;11;;;;;;;4465;169;;26,42;;;1108;TN411;;;;;;45;56;80;12;0;37;80
2023/2024;Cycle Preparatoire(G)& Enseignement Secondaire;Kairouan Sud;8122;14;;;;;;;9128;354;;25,79;;;297;TN412;;;;;;145;32;289;226;119;454;0
2023/2024;Cycle Preparatoire(G)& Enseignement Secondaire;Echbika;8123;3;;;;;;;2270;80;;28,38;;;159;TN413;;;;;;49;0;87;0;0;95;0
2023/2024;Cycle Preparatoire(G)& Enseignement Secondaire;Sebikha;8126;6;;;;;;;5376;182;;29,54;;;318;TN414;;;;;;225;33;56;101;15;176;0
2023/2024;Cycle Preparatoire(G)& Enseignement Secondaire;El  Oueslatia;8131;5;;;;;;;2771;99;;27,99;;;160;TN415;;;;;;112;8;53;55;0;137;0
2023/2024;Cycle Preparatoire(G)& Enseignement Secondaire;Ain jloula;8132;2;;;;;;;692;27;;25,63;;;39;TN420;;;;;;20;0;21;0;0;42;0
2023/2024;Cycle Preparatoire(G)& Enseignement Secondaire;El Ala;8134;6;;;;;;;2454;96;;25,56;;;135;TN417;;;;;;100;12;35;0;0;99;0
2023/2024;Cycle Preparatoire(G)& Enseignement Secondaire;Haffouz;8136;5;;;;;;;3835;143;;26,82;;;267;TN416;;;;;;90;28;57;56;11;176;0
2023/2024;Cycle Preparatoire(G)& Enseignement Secondaire;Hajeb El Ayoun;8141;5;;;;;;;3590;128;;28,05;;;215;TN418;;;;;;135;18;45;89;12;104;0
2023/2024;Cycle Preparatoire(G)& Enseignement Secondaire;Nasrallah;8146;6;;;;;;;2839;113;;25,12;;;179;TN419;;;;;;65;0;102;52;0;177;0
2023/2024;Cycle Preparatoire(G)& Enseignement Secondaire;Manzel mhiri;8147;2;;;;;;;576;18;;32;;;83;TN421;;;;;;0;0;0;0;0;0;0
2023/2024;Cycle Preparatoire(G)& Enseignement Secondaire;Bouhajla;8151;6;;;;;;;5408;118;;45,83;;;322;TN41B;;;;;;107;16;98;123;15;211;0
2023/2024;Cycle Preparatoire(G)& Enseignement Secondaire;Echrarda;8156;4;;;;;;;1098;47;;23,36;;;149;TN41A;;;;;;50;0;27;0;38;31;0
2022/2023;Cycle Preparatoire(G)& Enseignement Secondaire;Kairaouan Nord;8121;11;;;;;;;6194;238;;26,03;;;1139;TN411;;;;;;60;91;169;132;23;183;0
2022/2023;Cycle Preparatoire(G)& Enseignement Secondaire;Kairouan Sud;8122;14;;;;;;;10330;394;;26,22;;;309;TN412;;;;;;228;56;266;197;126;534;83
2022/2023;Cycle Preparatoire(G)& Enseignement Secondaire;Echbika;8123;3;;;;;;;2246;77;;29,17;;;158;TN413;;;;;;62;0;89;0;0;131;0
2022/2023;Cycle Preparatoire(G)& Enseignement Secondaire;Sebikha;8126;6;;;;;;;4587;159;;28,85;;;328;TN414;;;;;;185;35;42;82;15;163;0
